age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price,TYPE
7.0,2.0,120000.0,1.0,0.0,5.0,0.0,5.0,470000.0,0.0
11.0,3.0,84688.0,1.0,0.0,5.0,7.0,6.0,265000.0,0.0
9.0,1.0,21000.0,1.0,0.0,5.0,0.0,3.0,250000.0,0.0
12.0,8.0,95000.0,1.0,0.0,5.0,0.0,3.0,150000.0,0.0
13.0,8.0,86000.0,1.0,0.0,5.0,0.0,6.0,250000.0,0.0
9.0,9.0,130000.0,2.0,0.0,5.0,0.0,8.0,225000.0,0.0
7.0,1.0,50000.0,1.0,0.0,5.0,0.0,8.0,280000.0,0.0
12.0,2.0,105000.0,1.0,0.0,5.0,0.0,11.0,150000.0,0.0
13.0,19.0,150000.0,2.0,2.0,5.0,0.0,8.0,140000.0,0.0
7.0,2.0,47000.0,1.0,0.0,5.0,0.0,5.0,450000.0,0.0
5.0,3.0,250000.0,1.0,0.0,5.0,0.0,3.0,350000.0,0.0
9.0,2.0,93000.0,2.0,2.0,5.0,0.0,5.0,370000.0,0.0
15.0,2.0,100000.0,2.0,0.0,5.0,0.0,11.0,120000.0,0.0
14.0,3.0,110000.0,1.0,0.0,5.0,0.0,9.0,80000.0,0.0
20.0,7.0,90000.0,2.0,0.0,0.0,0.0,6.0,350000.0,0.0
7.0,4.0,90000.0,1.0,0.0,5.0,0.0,11.0,225000.0,0.0
1.0,3.0,27000.0,1.0,0.0,5.0,0.0,6.0,440000.0,0.0
12.0,16.0,100000.0,2.0,5.0,5.0,0.0,5.0,280000.0,0.0
11.0,3.0,20000.0,1.0,9.0,0.0,0.0,3.0,160000.0,0.0
12.0,3.0,40000.0,1.0,2.0,5.0,7.0,3.0,350000.0,0.0
15.0,8.0,140000.0,1.0,0.0,5.0,0.0,6.0,150000.0,0.0
12.0,2.0,80000.0,3.0,0.0,5.0,0.0,8.0,180000.0,0.0
7.0,1.0,1020000.0,1.0,0.0,5.0,0.0,5.0,160000.0,0.0
11.0,7.0,137500.0,2.0,1.0,5.0,0.0,6.0,150000.0,0.0
17.0,2.0,120000.0,1.0,0.0,5.0,0.0,11.0,150000.0,0.0
12.0,13.0,100000.0,3.0,2.0,5.0,0.0,11.0,300000.0,0.0
17.0,8.0,65000.0,1.0,0.0,5.0,0.0,6.0,250000.0,0.0
9.0,7.0,135000.0,2.0,0.0,5.0,0.0,6.0,260000.0,0.0
7.0,11.0,110000.0,2.0,1.0,5.0,0.0,3.0,380000.0,0.0
8.0,2.0,60000.0,1.0,0.0,5.0,0.0,5.0,250000.0,0.0
11.0,3.0,55000.0,1.0,0.0,5.0,0.0,3.0,450000.0,0.0
14.0,17.0,99000.0,1.0,0.0,5.0,0.0,8.0,315000.0,0.0
24.0,3.0,250000.0,1.0,0.0,5.0,0.0,9.0,50000.0,0.0
11.0,9.0,100000.0,2.0,2.0,5.0,0.0,8.0,467000.0,0.0
9.0,7.0,186000.0,2.0,0.0,5.0,0.0,11.0,300000.0,0.0
6.0,2.0,78000.0,2.0,2.0,5.0,0.0,5.0,400000.0,0.0
7.0,3.0,51000.0,1.0,0.0,5.0,0.0,3.0,350000.0,0.0
14.0,2.0,90000.0,1.0,2.0,5.0,0.0,8.0,240000.0,0.0
9.0,3.0,40000.0,1.0,0.0,5.0,0.0,6.0,435000.0,0.0
10.0,2.0,90000.0,1.0,0.0,5.0,0.0,8.0,200000.0,0.0
10.0,9.0,169000.0,2.0,0.0,5.0,0.0,5.0,225000.0,0.0
4.0,8.0,50000.0,1.0,0.0,5.0,0.0,3.0,500000.0,0.0
23.0,2.0,35000.0,1.0,0.0,4.0,0.0,5.0,35000.0,0.0
9.0,8.0,320000.0,1.0,0.0,5.0,0.0,5.0,250000.0,0.0
11.0,16.0,127030.0,2.0,2.0,5.0,0.0,9.0,349999.0,0.0
7.0,2.0,100000.0,1.0,0.0,5.0,0.0,11.0,340000.0,0.0
7.0,2.0,60000.0,1.0,2.0,5.0,0.0,5.0,500000.0,0.0
7.0,4.0,90000.0,2.0,5.0,5.0,0.0,3.0,499000.0,0.0
12.0,3.0,200000.0,2.0,0.0,5.0,0.0,6.0,300000.0,0.0
7.0,7.0,162500.0,1.0,0.0,5.0,0.0,3.0,350000.0,0.0
6.0,8.0,56000.0,1.0,0.0,5.0,2.0,6.0,415000.0,0.0
12.0,2.0,57000.0,1.0,0.0,4.0,0.0,8.0,150000.0,0.0
11.0,8.0,85000.0,2.0,1.0,5.0,0.0,9.0,300000.0,0.0
10.0,2.0,78000.0,1.0,0.0,5.0,0.0,11.0,255000.0,0.0
