age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price
4.0,14.0,44967.0,1.0,5.0,5.0,0.0,5.0,716646.0
2.0,7.0,20000.0,1.0,5.0,5.0,0.0,8.0,900000.0
3.0,26.0,44000.0,1.0,6.0,5.0,4.0,3.0,4600000.0
2.0,2.0,40000.0,1.0,8.0,7.0,0.0,5.0,1270000.0
14.0,7.0,65000.0,2.0,0.0,5.0,0.0,6.0,258066.0
7.0,25.0,70000.0,2.0,5.0,5.0,0.0,5.0,700000.0
6.0,2.0,55000.0,1.0,2.0,5.0,7.0,5.0,720000.0
11.0,18.0,135110.0,2.0,8.0,7.0,0.0,8.0,850000.0
2.0,19.0,35000.0,2.0,5.0,7.0,0.0,3.0,1950000.0
2.0,8.0,3700.0,1.0,0.0,5.0,2.0,3.0,675000.0
3.0,16.0,25000.0,1.0,2.0,5.0,0.0,5.0,1350000.0
11.0,3.0,35000.0,2.0,2.0,5.0,0.0,9.0,362561.0
19.0,8.0,93000.0,1.0,0.0,5.0,0.0,6.0,200000.0
7.0,13.0,130000.0,2.0,2.0,5.0,0.0,3.0,800000.0
15.0,11.0,100000.0,2.0,5.0,7.0,7.0,13.0,350000.0
6.0,25.0,60008.0,2.0,5.0,5.0,0.0,3.0,1375000.0
5.0,4.0,40000.0,1.0,8.0,7.0,0.0,5.0,435000.0
9.0,19.0,25000.0,2.0,5.0,7.0,0.0,6.0,600000.0
11.0,8.0,59350.0,1.0,1.0,5.0,0.0,3.0,310000.0
8.0,13.0,116000.0,2.0,5.0,7.0,0.0,8.0,500000.0
3.0,2.0,40000.0,1.0,0.0,5.0,0.0,5.0,650000.0
13.0,18.0,100134.0,2.0,5.0,8.0,0.0,9.0,375000.0
2.0,31.0,28485.0,2.0,2.0,5.0,4.0,3.0,4600000.0
4.0,12.0,18268.0,1.0,5.0,5.0,0.0,5.0,555888.0
3.0,2.0,40000.0,1.0,2.0,5.0,0.0,5.0,720000.0
4.0,11.0,33011.0,2.0,5.0,7.0,4.0,3.0,3650000.0
9.0,8.0,85000.0,1.0,0.0,5.0,0.0,5.0,170000.0
1.0,2.0,16000.0,1.0,8.0,7.0,0.0,5.0,1050000.0
6.0,2.0,85000.0,1.0,0.0,5.0,0.0,5.0,250000.0
2.0,13.0,1643.0,1.0,2.0,5.0,0.0,3.0,1235000.0
6.0,8.0,60000.0,1.0,0.0,5.0,0.0,3.0,355000.0
11.0,8.0,35330.0,1.0,0.0,5.0,0.0,3.0,310000.0
3.0,19.0,46054.0,2.0,4.0,7.0,0.0,3.0,860000.0
3.0,12.0,7108.0,1.0,4.0,5.0,3.0,3.0,915000.0
