age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price,TYPE
1.0,34.0,2660.0,9.0,5.0,5.0,7.0,1.0,7125000.0,3.0
0.0,20.0,50.0,9.0,17.0,2.0,7.0,1.0,7499000.0,3.0
1.0,34.0,3257.0,9.0,5.0,5.0,7.0,1.0,6450000.0,3.0
4.0,26.0,53982.0,2.0,5.0,5.0,7.0,3.0,2800000.0,3.0
2.0,7.0,9000.0,2.0,5.0,5.0,4.0,3.0,2275000.0,3.0
8.0,11.0,47000.0,1.0,14.0,4.0,7.0,5.0,7500000.0,3.0
7.0,28.0,70000.0,2.0,2.0,5.0,7.0,3.0,3500000.0,3.0
1.0,34.0,3484.0,1.0,5.0,5.0,4.0,1.0,10250000.0,3.0
3.0,31.0,21200.0,1.0,2.0,5.0,4.0,3.0,4300000.0,3.0
3.0,31.0,21200.0,1.0,2.0,5.0,4.0,3.0,4300000.0,3.0
8.0,18.0,237000.0,2.0,5.0,7.0,0.0,3.0,2000000.0,3.0
5.0,34.0,34000.0,2.0,5.0,5.0,4.0,3.0,3980000.0,3.0
2.0,18.0,101505.0,7.0,5.0,5.0,6.0,3.0,1900000.0,3.0
1.0,8.0,20000.0,1.0,5.0,5.0,7.0,5.0,2300000.0,3.0
1.0,18.0,15000.0,1.0,7.0,7.0,3.0,3.0,2290000.0,3.0
8.0,34.0,38000.0,2.0,2.0,5.0,7.0,3.0,2550000.0,3.0
7.0,18.0,100000.0,2.0,8.0,8.0,0.0,5.0,2300000.0,3.0
1.0,8.0,15000.0,2.0,5.0,5.0,4.0,3.0,2125000.0,3.0
2.0,7.0,25000.0,2.0,5.0,5.0,4.0,1.0,2440000.0,3.0
6.0,31.0,29800.0,2.0,5.0,6.0,7.0,3.0,8700000.0,3.0
6.0,16.0,75575.0,2.0,2.0,5.0,7.0,3.0,1900000.0,3.0
2.0,31.0,27237.0,2.0,5.0,5.0,5.0,3.0,4300000.0,3.0
7.0,28.0,50000.0,2.0,2.0,5.0,7.0,3.0,3500000.0,3.0
1.0,32.0,4343.0,9.0,0.0,4.0,7.0,3.0,3700000.0,3.0
26.0,31.0,123456.0,2.0,2.0,0.0,7.0,3.0,9210799.0,3.0
3.0,19.0,132000.0,2.0,5.0,7.0,4.0,3.0,2100000.0,3.0
1.0,35.0,13131.0,1.0,5.0,7.0,4.0,3.0,7400000.0,3.0
4.0,18.0,56381.0,2.0,5.0,7.0,0.0,3.0,2150000.0,3.0
2.0,32.0,8787.0,9.0,0.0,4.0,7.0,3.0,3700000.0,3.0
4.0,35.0,38000.0,1.0,5.0,5.0,5.0,3.0,2400000.0,3.0
1.0,36.0,19000.0,1.0,5.0,5.0,5.0,3.0,7975000.0,3.0
3.0,31.0,21200.0,1.0,2.0,5.0,4.0,3.0,4300000.0,3.0
3.0,31.0,41936.0,2.0,5.0,5.0,4.0,3.0,3500000.0,3.0
4.0,31.0,18000.0,1.0,2.0,5.0,4.0,3.0,5000000.0,3.0
0.0,19.0,10000.0,9.0,5.0,5.0,7.0,13.0,1900000.0,3.0
5.0,27.0,36000.0,1.0,5.0,5.0,7.0,6.0,5400000.0,3.0
1.0,3.0,2000.0,1.0,5.0,5.0,4.0,3.0,2100000.0,3.0
4.0,34.0,27196.0,2.0,2.0,5.0,7.0,3.0,6000000.0,3.0
2.0,35.0,10000.0,1.0,5.0,5.0,7.0,5.0,4500000.0,3.0
6.0,18.0,67406.0,2.0,5.0,8.0,7.0,3.0,2100000.0,3.0
2.0,19.0,35000.0,2.0,5.0,5.0,4.0,3.0,2600000.0,3.0
2.0,20.0,30000.0,2.0,5.0,7.0,0.0,5.0,2300000.0,3.0
10.0,31.0,97000.0,2.0,5.0,5.0,7.0,3.0,2768000.0,3.0
9.0,31.0,84000.0,2.0,5.0,5.0,7.0,6.0,3850000.0,3.0
1.0,18.0,34199.0,2.0,7.0,8.0,0.0,3.0,2025000.0,3.0
3.0,27.0,35000.0,2.0,5.0,5.0,4.0,3.0,5950000.0,3.0
10.0,34.0,160000.0,2.0,5.0,7.0,7.0,6.0,2775000.0,3.0
5.0,31.0,72000.0,1.0,2.0,5.0,7.0,3.0,3200000.0,3.0
1.0,32.0,4343.0,9.0,0.0,4.0,7.0,3.0,3700000.0,3.0
4.0,26.0,29596.0,1.0,5.0,5.0,4.0,3.0,3100000.0,3.0
3.0,35.0,45000.0,1.0,5.0,5.0,5.0,3.0,5399999.0,3.0
1.0,24.0,6000.0,9.0,6.0,5.0,7.0,3.0,4200000.0,3.0
5.0,18.0,77000.0,2.0,5.0,7.0,7.0,6.0,2375000.0,3.0
3.0,34.0,30500.0,2.0,2.0,5.0,7.0,3.0,7000000.0,3.0
2.0,7.0,35000.0,2.0,5.0,7.0,4.0,3.0,1999999.0,3.0
5.0,18.0,68000.0,2.0,8.0,7.0,0.0,5.0,2350000.0,3.0
10.0,27.0,44346.0,2.0,5.0,5.0,7.0,6.0,2800000.0,3.0
1.0,35.0,6500.0,1.0,5.0,5.0,5.0,1.0,7499999.0,3.0
6.0,28.0,76500.0,2.0,2.0,5.0,7.0,9.0,2500000.0,3.0
5.0,18.0,68000.0,2.0,5.0,7.0,0.0,3.0,3150000.0,3.0
2.0,18.0,55440.0,7.0,7.0,7.0,6.0,3.0,3075000.0,3.0
3.0,34.0,35400.0,2.0,5.0,5.0,4.0,3.0,5450000.0,3.0
7.0,28.0,67600.0,2.0,2.0,5.0,7.0,5.0,2150000.0,3.0
7.0,31.0,50000.0,2.0,2.0,5.0,7.0,3.0,3800000.0,3.0
1.0,20.0,25000.0,9.0,5.0,5.0,7.0,5.0,2000000.0,3.0
2.0,18.0,73000.0,2.0,5.0,7.0,0.0,5.0,3400000.0,3.0
9.0,34.0,147000.0,2.0,5.0,5.0,7.0,3.0,2500000.0,3.0
5.0,16.0,74000.0,2.0,5.0,7.0,7.0,3.0,2550000.0,3.0
2.0,17.0,56000.0,1.0,5.0,5.0,5.0,3.0,2800000.0,3.0
10.0,31.0,120000.0,2.0,2.0,5.0,7.0,5.0,1870000.0,3.0
1.0,26.0,29000.0,7.0,5.0,5.0,4.0,3.0,5300000.0,3.0
1.0,35.0,29000.0,1.0,5.0,5.0,7.0,5.0,6200000.0,3.0
3.0,35.0,40200.0,1.0,2.0,5.0,5.0,3.0,2990000.0,3.0
1.0,27.0,20000.0,1.0,5.0,5.0,7.0,5.0,8500000.0,3.0
1.0,34.0,8200.0,1.0,5.0,5.0,4.0,1.0,12075000.0,3.0
1.0,19.0,70000.0,2.0,5.0,7.0,0.0,5.0,2400000.0,3.0
1.0,34.0,6551.0,2.0,2.0,5.0,5.0,1.0,4636525.0,3.0
2.0,25.0,10000.0,1.0,5.0,5.0,4.0,3.0,6250000.0,3.0
5.0,18.0,99999.0,1.0,5.0,7.0,4.0,3.0,2800000.0,3.0
0.0,19.0,883.0,1.0,5.0,7.0,4.0,3.0,2375000.0,3.0
3.0,19.0,25662.0,2.0,5.0,7.0,0.0,3.0,2295000.0,3.0
4.0,18.0,68000.0,2.0,5.0,7.0,7.0,3.0,2990000.0,3.0
3.0,31.0,21200.0,1.0,2.0,5.0,4.0,3.0,4300000.0,3.0
6.0,22.0,80000.0,2.0,5.0,7.0,7.0,5.0,2200000.0,3.0
3.0,31.0,20000.0,2.0,2.0,5.0,4.0,3.0,5000000.0,3.0
1.0,35.0,7983.0,1.0,5.0,5.0,5.0,1.0,6500000.0,3.0
5.0,31.0,85000.0,1.0,6.0,6.0,4.0,3.0,7175000.0,3.0
2.0,31.0,27237.0,2.0,5.0,5.0,5.0,3.0,4300000.0,3.0
0.0,34.0,3531.0,2.0,5.0,5.0,4.0,1.0,9591750.0,3.0
4.0,34.0,23000.0,1.0,2.0,5.0,4.0,6.0,3800000.0,3.0
9.0,31.0,54000.0,2.0,5.0,5.0,7.0,8.0,2500000.0,3.0
2.0,7.0,50000.0,2.0,5.0,7.0,0.0,5.0,2100000.0,3.0
3.0,7.0,54000.0,2.0,5.0,7.0,0.0,3.0,1900000.0,3.0
3.0,33.0,20000.0,9.0,0.0,4.0,7.0,5.0,4000000.0,3.0
8.0,35.0,47000.0,2.0,2.0,5.0,7.0,3.0,1899000.0,3.0
